,n_iter,L
0,2,2370.6586278208924
1,27,1725.2678369003731
2,78,1518.2669761712004
3,129,1344.4675138349621
4,436,1181.813846900473
5,871,1174.3631598628167
6,952,1158.106824179552
7,1174,1136.2018565720366
8,1186,1066.6626488231157
9,1574,1034.1014627419813
10,11711,957.3826118964488
11,20254,933.1811516156374
12,25300,900.6432068643365
13,27910,889.7073352344237
14,30598,886.3700954226433
15,78213,864.4617095557741
