,n_iter,L
0,3,31.044677486247146
1,94,43.426872578744124
2,104,76.15006213157662
3,418,85.8387731794381
4,562,128.63049069040264
5,584,167.1680578809385
6,4138,189.8388282615655
7,5111,227.00981503877998
8,9623,245.0413072647395
9,13574,248.88969070830512
10,16170,262.1710987268633
11,251842,265.4328951233523
12,386979,270.3483479011618
