,C,P
1959-02-01,-0.3489982513333383,0.011390646922077925
1959-03-01,4.560073584808149,0.025468028855479646
1959-04-01,6.356919422384115,0.037961186033704755
1959-05-01,5.037526476923153,0.05234698428924829
1959-06-01,7.651094275618966,0.06714010549761455
1959-07-01,9.28849414778518,0.08201833726111302
1959-08-01,12.792887879443708,0.09708475652559619
1959-09-01,13.464972713654232,0.11206833966731512
1959-10-01,11.964085609976973,0.12706469536251977
1959-11-01,13.116386137369608,0.14189235419480845
1959-12-01,14.47389262033521,0.1566268937417215
1960-01-01,10.014920788613457,0.17114900861829238
1960-02-01,10.970309525356203,0.1855031326767429
1960-03-01,11.075856996662573,0.19961868345630102
1960-04-01,14.320679719490773,0.21351252407370375
1960-05-01,15.126382318944348,0.2271494607358029
1960-06-01,16.476488871060223,0.2405265360059282
1960-07-01,16.30601328470067,0.2536326985319173
1960-08-01,18.05485560353709,0.2664527106352609
1960-09-01,12.06399964148846,0.27899098962574975
1960-10-01,9.698198627793383,0.2912260223272826
1960-11-01,20.573501274081014,0.30317141117364016
1960-12-01,2.0842018431774925,0.31480365258532444
1961-01-01,10.992349686156833,0.32614121124275625
1961-02-01,16.559304679367443,0.33716138804765516
1961-03-01,8.36437362153506,0.3478846794856348
1961-04-01,6.793541518898179,0.35829083409336426
1961-05-01,8.0828921570721,0.36840062637575344
1961-06-01,5.788620715212465,0.37819706889031085
1961-07-01,10.901566592518892,0.3877002029835151
1961-08-01,7.691904959212549,0.3968965639508675
1961-09-01,1.1414421680489948,0.4058049394054824
1961-10-01,2.3765654274552155,0.4144152941091677
1961-11-01,5.226182900973301,0.4227449505756647
1961-12-01,1.9843695915879365,0.4307870064512046
1962-01-01,-3.791827625352367,0.43855729157661044
1962-02-01,5.055507729882814,0.44605163910522333
1962-03-01,6.3724107885093195,0.4532844590305433
1962-04-01,8.315282739118754,0.46025388922610544
1962-05-01,10.313667696832454,0.4669730399125737
1962-06-01,11.868381731578305,0.4734419313352559
1962-07-01,10.254458131473669,0.47967250909971726
1962-08-01,9.574434600010354,0.48566628588330324
1962-09-01,12.347275907347223,0.4914341747960453
1962-10-01,5.686833589923941,0.4969788353374445
1962-11-01,2.1849840479078457,0.5023102681264445
1962-12-01,6.5842472351427554,0.5074319823281153
1963-01-01,5.569954140021699,0.5123531704369753
1963-02-01,0.45924668558057125,0.5170779419155318
1963-03-01,0.3753304921256296,0.5216147695525793
1963-04-01,3.0881645548184435,0.5259681581344472
1963-05-01,6.991529819024044,0.5301459345812078
1963-06-01,5.625224482934154,0.534152833675174
1963-07-01,1.2558652170186306,0.5379960978185883
1963-08-01,3.170494433581174,0.5416805608737444
1963-09-01,5.413244898741146,0.5452129318484977
1963-10-01,3.873023261250129,0.5485980419976219
1963-11-01,6.625712646349568,0.5518421099483256
1963-12-01,-1.2737520230699806,0.5549498870549752
1964-01-01,-11.598252987764724,0.5579271383004624
1964-02-01,0.9047714963434235,0.5607784779081284
1964-03-01,3.023241460347573,0.5635092491746708
1964-04-01,1.024328673453002,0.5661238882441945
1964-05-01,-2.9647972052012896,0.5686273450840499
1964-06-01,-0.7173187135103398,0.5710238498654946
1964-07-01,-4.511502427281363,0.5733179848711338
1964-08-01,-2.3301239898350907,0.5755137567443096
1964-09-01,-5.79069063264956,0.5776154036662382
1964-10-01,1.9952442675967834,0.5796266992817414
1964-11-01,4.273011348292789,0.5815515596525387
1964-12-01,-1.164036961761358,0.5833935221877213
1965-01-01,1.3672185271976958,0.5851562015226113
1965-02-01,4.628237916428461,0.5868429003208238
1965-03-01,-0.7532295545726759,0.5884569514005757
1965-04-01,-1.8386542418832639,0.5900014276835049
1965-05-01,6.730428929621484,0.5914793988247876
1965-06-01,4.086864128804486,0.5928937155490012
1965-07-01,-0.5248813898538778,0.5942472021215761
1965-08-01,4.352440399763663,0.5955424963864707
1965-09-01,5.832289516112871,0.5967821941522907
1965-10-01,6.6342987387544365,0.5979687308644193
1965-11-01,6.168417441871217,0.5991044899890537
1965-12-01,9.612496837095748,0.6001917157475832
1966-01-01,8.10753747110271,0.6012325945684281
1966-02-01,14.57945793391605,0.6022291909536491
1966-03-01,12.662136749570085,0.6031835087937656
1966-04-01,14.713889542269744,0.6040974444301784
1966-05-01,16.899445067542807,0.6049728329156097
1966-06-01,18.64431432416705,0.6058114138355014
1966-07-01,20.0848930579115,0.6066148663145466
1966-08-01,19.7580445222122,0.6073847842825087
1966-09-01,19.555167650031766,0.6081227030648436
1966-10-01,22.229949995772458,0.6088300816247298
1966-11-01,25.33237993439902,0.6095083228527237
1966-12-01,24.66189710135184,0.6101587609497141
1967-01-01,24.825783909376153,0.6107826769931063
1967-02-01,20.876610803907468,0.6113812900934034
1967-03-01,18.175083549550134,0.6119557694165789
1967-04-01,16.55579545285163,0.6125072280998106
1967-05-01,18.524010948802005,0.613036732605778
1967-06-01,19.438969143123565,0.6135452986492255
1967-07-01,20.215464680152007,0.6140338985359066
1967-08-01,17.561336619517242,0.6145034585444527
1967-09-01,21.492025053628417,0.6149548647392504
1967-10-01,22.275158397277057,0.6153889613975839
1967-11-01,17.73049378927628,0.6158065556595284
1967-12-01,10.28072329356458,0.6162084167002625
1968-01-01,7.505236083014681,0.6165952794891191
1968-02-01,16.145029289155993,0.6169678444848637
1968-03-01,11.921633747775799,0.6173267807094919
1968-04-01,12.694303475173214,0.6176727258030649
1968-05-01,14.80640956091674,0.6180062885659214
1968-06-01,13.793263179268648,0.6183280492562169
1968-07-01,12.313012871777552,0.6186385617142003
1968-08-01,19.828779531999828,0.618938353818261
