,n_iter,L
0,2,15072.184084185963
1,3,10486.511545777716
2,4,4866.48076260083
3,6,2520.511560600098
4,13,2109.5112716535796
5,22,1974.68775974427
6,32,1459.5886071795355
7,285,1222.441770121194
8,452,1174.630295730235
9,1836,1142.7589405414024
10,2665,1026.7568535566404
