,USIPMANG,USGPYD,USPPM,USWRKW
gammai,0.2289,0.133,-0.0059,0.8573
d1i,0.2115,-0.5554,0.4363,-0.2912
d2i,-0.219,-0.1022,0.3789,-0.9998
sigmai,-0.9257,-0.8277,0.6663,-0.0
