,IP,GMYX,LPMH,LPMHU
gammai,0.043,0.0413,0.0337,0.0349
d1i,0.1098,0.0551,0.0526,0.0546
d2i,0.0868,0.0611,0.0512,0.0532
sigmai,0.0415,0.0333,0.0323,0.0342
