,IP,GMYX,LPMH,LPMHU
gammai,-0.7231,-0.498,-0.464,-0.5023
d1i,-0.0043,-0.1185,-0.4277,-0.4527
d2i,-0.1424,0.1489,-0.2317,-0.1265
sigmai,-0.4686,0.7803,0.7424,0.7109
