,IP,GMYX,LPMH,LPMHU
gammai,0.033,0.0283,0.0283,0.0274
d1i,0.0858,0.1191,0.0769,0.0489
d2i,0.1071,0.0515,0.0996,0.0675
sigmai,0.0362,0.033,0.0309,0.0308
